SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TotalRevenue,TotalRevenueLog,ServiceCount,ContractRiskScore,AvgMonthlySpend,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,gender_Male,TenureSegment_New,TenureSegment_Regular,SpendTier_Low,SpendTier_Medium
0,0,0,-0.8949338235870146,1,1,1.0350679532693612,-0.5385847670931869,0,-0.5385847670931869,-0.20044968926051296,4,3,0.2620445696335378,True,False,False,False,True,False,False,False,False,True,False,False
0,0,0,1.2306780506774033,1,1,0.5397028167708313,1.5237582384126795,0,1.5237582384126795,1.1954482647531266,3,2,0.11905581768109681,True,False,False,False,True,True,False,True,False,False,False,True
0,0,0,1.6654622976860343,1,0,-1.3917632508863789,0.11431228345752653,0,0.11431228345752653,0.4462588370522705,2,2,-0.4348437883816875,False,True,False,True,False,True,False,True,False,False,True,False
0,1,0,-0.4601495765783837,1,1,-1.356270987639566,-0.8372492616764906,0,-0.8372492616764906,-0.6930753302629781,1,1,-0.4201260742844446,False,True,True,False,False,False,True,True,False,True,True,False
0,0,1,0.07125339198772082,1,0,-1.4058838287372615,-0.6205744059901953,0,-0.6205744059901953,-0.3157452741721614,2,3,-0.43959666444779494,False,True,False,False,False,False,False,True,False,True,True,False
0,1,1,-1.0881712667019616,1,1,-0.18273647705945867,-0.9656782621266964,1,-0.9656782621266964,-0.9957677187680862,4,3,-0.11102901181995248,False,False,False,True,False,False,False,False,True,False,False,True
0,1,0,-0.9915525451444882,1,1,0.9255380656152177,-0.6747141315462553,1,-0.6747141315462553,-0.3988835774879541,4,3,0.22526277205970036,True,False,True,False,False,False,False,True,False,True,False,False
0,0,0,1.8586997408009813,0,1,0.7625789644712485,2.3603782789783017,1,2.3603782789783017,1.4811584947402525,5,3,0.17442640370297957,True,False,False,False,True,False,False,True,False,False,False,False
0,1,0,1.2306780506774033,1,0,-1.6081515655201741,-0.25235891662128346,1,-0.25235891662128346,0.12909195918476774,1,3,-0.49289209952741936,False,True,True,False,False,False,False,False,False,False,True,False
0,0,1,-0.2186027726846998,1,0,1.186196299997726,0.29433530391048446,0,0.29433530391048446,0.5744698486919799,6,3,0.29335758860688976,True,False,False,True,False,False,False,False,False,True,False,False
0,1,0,-1.039861905923225,1,1,1.5353943738776605,-0.635031694463742,0,-0.635031694463742,-0.3373543807099324,6,1,0.38479785759824625,True,False,False,False,True,False,True,True,True,False,False,False
0,0,0,-0.6533870196933308,1,1,1.1167383224609524,-0.25092531018132563,0,-0.25092531018132563,0.13052267651046565,4,3,0.26828732154609036,True,False,False,False,False,False,False,False,False,True,False,False
0,1,0,-1.3297180705956455,1,0,0.9114174877643355,-1.0681969344194264,0,-1.0681969344194264,-1.3136687015635096,3,3,0.18452444777205457,True,False,False,False,False,False,False,True,True,False,False,False
1,0,0,-0.26691213346343656,1,1,-1.5184668143051092,-0.811512863712098,0,-0.811512863712098,-0.6410791487308712,2,2,-0.46749389828258026,False,True,False,False,True,True,False,False,False,True,True,False
0,1,0,-1.5229555137105926,0,0,-2.300059880213421,-1.366550462899945,0,-1.366550462899945,-4.605932331930138,0,2,-0.7139068364850153,False,True,False,True,False,True,False,False,True,False,True,False
0,0,0,1.3756061330136136,1,0,0.36414968673283177,1.48965210873265,0,1.48965210873265,1.1821172609315351,5,2,0.05941134935483313,False,False,False,True,False,True,False,True,False,False,False,True
0,1,0,-0.17029341190596303,1,0,0.5694705214294488,0.10991132251133207,0,0.10991132251133207,0.4429348448495391,6,3,0.1291968089681252,False,False,True,False,False,False,False,True,False,True,False,True
0,0,0,1.8586997408009813,1,1,-1.3879468784942484,0.2197034392420841,0,0.2197034392420841,0.5230710351135158,2,1,-0.4299577537958473,False,True,True,False,False,False,True,True,False,False,True,False
0,0,0,-0.8949338235870146,1,1,0.2862956899333708,-0.7018577828910478,0,-0.7018577828910478,-0.4429878916480414,2,1,0.040776870838271875,True,False,False,False,True,False,True,True,False,True,False,True
0,1,0,1.8586997408009813,1,1,-0.14838912553028513,1.4370355900190455,0,1.4370355900190455,1.1612375491846727,3,3,-0.08626414246988372,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,-0.07367469034848949,1,1,0.6755656739306747,0.249208324723278,0,0.249208324723278,0.5436713541990105,5,3,0.15445464214063462,True,False,False,True,False,False,False,False,False,True,False,False
0,0,0,-0.7016963804720675,1,1,-0.2624986600549848,-0.6639778950823052,0,-0.6639778950823052,-0.381903202157173,3,2,-0.11306828024769502,False,False,False,False,False,True,False,True,False,True,True,False
0,0,0,1.8103903800222447,0,0,-2.13442931839496,-0.5473814183736644,0,-0.5473814183736644,-0.21227108603797626,0,3,-0.6432080785131543,False,True,False,True,False,False,False,True,False,False,True,False
0,1,1,-0.17029341190596303,1,1,-0.0022220629116897575,-0.13860857034491206,0,-0.13860857034491206,0.2373302898351682,4,3,-0.03920035246247666,False,False,False,False,True,False,False,False,False,True,False,True
